timestamp,Building A,Building B,Building C,Building G,Building R,Building YG
2019-03-07T00:00:00,0.027889784,0.464415236,0.178408859,0.271396482,0.754696616,0.044136566
2019-03-07T01:00:00,0.026718025,0.472135402,0.18082922,0.276148993,0.763675467,0.045312212
2019-03-07T02:00:00,0.02631526,0.464652971,0.18117051,0.273279384,0.75669176,0.045056492
2019-03-07T03:00:00,0.02724017,0.468849626,0.182541401,0.278033714,0.768209145,0.045419072
2019-03-07T04:00:00,0.031855583,0.467012016,0.181100554,0.274869526,0.758099221,0.045313497
2019-03-07T05:00:00,0.078701517,0.470563649,0.265795621,0.279253191,0.761348698,2.251876016
2019-03-07T06:00:00,0.937212539,1.205172081,4.40745394,0.275595414,0.80050406,6.203786379
2019-03-07T07:00:00,6.376771463,3.401973417,7.125166675,6.302681179,12.11107428,6.322014552
2019-03-07T08:00:00,17.37376108,15.42423869,7.340726887,15.88254161,29.13285954,6.10957435
2019-03-07T09:00:00,21.33443902,17.61814044,7.450150514,16.6067858,28.14987355,6.197704416
2019-03-07T10:00:00,22.742995,18.6624471,7.339279084,17.08458252,28.03814396,6.061701069
2019-03-07T11:00:00,24.02796022,24.51936515,7.202387183,17.01052763,25.65368966,6.197883115
2019-03-07T12:00:00,24.75694635,25.72600608,7.356412486,14.85249383,25.80405899,6.196928395
2019-03-07T13:00:00,23.91560442,22.8948554,7.434847167,17.45619197,28.9133706,6.196465286
2019-03-07T14:00:00,20.50116995,22.02193129,6.245981008,12.27790168,24.37754701,4.022440154
2019-03-07T15:00:00,17.42446677,22.943333,5.928850908,13.66871314,22.55432716,5.269580259
2019-03-07T16:00:00,16.07089935,20.49473356,5.957912982,13.08053599,21.7838299,4.970763784
2019-03-07T17:00:00,16.84722402,16.67294128,5.899760247,13.98760006,17.81618353,4.869139697
2019-03-07T18:00:00,15.80478585,11.59636575,5.992169415,11.07331692,10.90371788,5.492467715
2019-03-07T19:00:00,11.40921791,6.470036517,5.69731398,4.15919065,7.931256874,1.884990513
2019-03-07T20:00:00,1.012539996,0.483784155,0.601682218,4.357948769,1.062915061,0.004419088
2019-03-07T21:00:00,0.424541438,0.377527795,0.177128994,2.243390476,0.9789408,0.004795287
2019-03-07T22:00:00,0.344939002,0.326631427,0.183612061,0.465137589,0.915528058,0.04635442
2019-03-07T23:00:00,0.293732922,0.333236456,0.183778594,0.285648343,0.923100226,0.045165938
2019-03-08T00:00:00,0.284380021,0.32670771,0.177602924,0.279670815,0.889298918,0.045065551
2019-03-08T01:00:00,0.288123309,0.331125594,0.17939504,0.284258169,0.893142522,0.044795061
2019-03-08T02:00:00,0.284303241,0.325745875,0.176273534,0.280478176,0.886754891,0.044458822
2019-03-08T03:00:00,0.053979136,0.329720056,0.178810241,0.284066781,0.897852843,0.045453051
2019-03-08T04:00:00,0.308904802,0.321046661,0.177662818,0.279848803,0.887446763,0.044763577
2019-03-08T05:00:00,0.037495646,0.32506767,0.290528133,0.28360501,0.891158763,3.118153494
2019-03-08T06:00:00,0.661138345,0.623819008,4.426215154,0.314870374,0.889917472,6.166315488
2019-03-08T07:00:00,6.855327436,8.721991066,4.449082983,6.221708782,11.31922952,6.226214272
2019-03-08T08:00:00,20.64531925,19.97767769,4.213896168,14.75868685,26.56719701,6.118190556
2019-03-08T09:00:00,20.42473797,22.75315799,3.598249097,14.17107603,23.43011032,5.802090833
2019-03-08T10:00:00,23.38247435,26.02675262,3.925494622,17.21255655,25.82038813,6.113584402
2019-03-08T11:00:00,22.8566483,24.92197675,5.857612468,16.64753324,23.75192072,6.208489829
2019-03-08T12:00:00,23.27347719,23.43060667,6.848500344,15.25068044,23.29174369,6.10539
2019-03-08T13:00:00,19.60194495,17.39316651,6.937277792,17.0611006,25.4381476,6.243539734
2019-03-08T14:00:00,18.16512461,16.663294,7.005816161,14.36677316,26.00289953,4.581025079
2019-03-08T15:00:00,19.23856127,18.38089973,7.954619715,15.03919064,27.09743035,6.435867353
2019-03-08T16:00:00,17.55775551,16.80028944,8.12482814,15.57385694,24.75688715,6.432563192
2019-03-08T17:00:00,16.09822033,20.71580184,8.423531009,15.80456514,21.92341943,6.478801814
2019-03-08T18:00:00,16.03086454,12.95520074,8.308902869,14.26249195,15.30277593,6.37504294
2019-03-08T19:00:00,12.0935148,2.958029515,8.403387274,3.55771943,10.39539894,5.82203052
2019-03-08T20:00:00,3.05547383,0.929222718,4.618014502,0.288525103,1.260549076,6.354830151
2019-03-08T21:00:00,0.034052372,0.55207013,0.627246939,0.327739865,1.276859868,3.324206279
2019-03-08T22:00:00,0.036413776,0.491232879,0.183032183,0.292108058,0.966509373,0.045255682
2019-03-08T23:00:00,0.031813064,0.461489295,0.187361695,0.284825972,0.904136332,0.045378683
2019-03-09T00:00:00,0.028821737,0.449436055,0.182009867,0.280864988,0.874067487,0.04409215
2019-03-09T01:00:00,0.032023395,0.457765277,0.186055033,0.283912865,0.892180429,0.045033571
2019-03-09T02:00:00,0.030690853,0.454804959,0.185094039,0.282356034,0.885713071,0.044522344
2019-03-09T03:00:00,0.031114352,0.51901404,0.184337215,0.286586357,0.898342211,0.045101984
2019-03-09T04:00:00,0.040918429,0.454888021,0.181025527,0.28192669,0.888347324,0.044496734
2019-03-09T05:00:00,0.032403526,0.465682061,0.227248826,0.28404889,0.893029956,0.045451673
2019-03-09T06:00:00,0.036810794,0.449370621,3.91931593,0.277010611,0.870999822,0.044207775
2019-03-09T07:00:00,0.042257584,0.461140949,3.966986151,0.284735127,0.897793883,0.044973876
2019-03-09T08:00:00,1.737272614,0.604827735,7.770649888,1.742092516,1.425068728,3.85275201
2019-03-09T09:00:00,4.495144724,0.529457045,8.10492389,8.457894184,1.919034195,6.520419437
2019-03-09T10:00:00,5.269065396,0.508337997,7.947185716,8.345105003,1.615036576,6.427777987
2019-03-09T11:00:00,4.406527576,0.490701052,7.926958003,9.501761836,1.92547974,6.538261794
2019-03-09T12:00:00,4.228671414,0.463228299,8.039890595,9.460580699,1.768514025,6.543624012
2019-03-09T13:00:00,4.148473014,0.459920551,8.245801956,9.478551631,5.827187046,6.539192179
2019-03-09T14:00:00,3.86967659,0.409286865,6.901502128,3.959119444,7.486483188,6.213930692
2019-03-09T15:00:00,3.733839192,0.463171452,6.724372664,6.254625143,1.050969754,6.543144204
2019-03-09T16:00:00,3.658163534,0.461117763,7.768561484,6.247856174,1.150470188,6.419699104
2019-03-09T17:00:00,1.511678913,0.460384366,7.93550951,6.242504139,1.411669117,6.49748107
2019-03-09T18:00:00,0.68719794,0.464493638,4.092590362,1.799718717,1.392300227,6.381532103
2019-03-09T19:00:00,0.742831326,0.461786689,3.920924189,1.571106627,1.446567602,6.487077695
2019-03-09T20:00:00,0.015594119,0.458295518,0.177392936,1.540974726,1.063797086,5.046023716
2019-03-09T21:00:00,0.016444127,0.456231774,0.179484526,0.986582699,1.03353698,0.04578224
2019-03-09T22:00:00,0.016916591,0.449805369,0.17653136,0.284076354,0.874542124,0.044680674
2019-03-09T23:00:00,0.019324929,0.458738654,0.181152197,0.289427686,0.87149785,0.045464159
2019-03-10T00:00:00,0.020075901,0.449275556,0.181470091,0.289245012,0.871045954,0.045203841
2019-03-10T01:00:00,0.021506231,0.45361701,0.186693431,0.288682458,0.886895943,0.045030135
2019-03-10T02:00:00,0.024393896,0.451113452,0.185044348,0.286800583,0.879801291,0.044057733
2019-03-10T03:00:00,0.023480118,0.50838056,0.188540557,0.290248357,0.89234859,0.044810575
2019-03-10T04:00:00,0.028376273,0.448656056,0.184792644,0.287566706,0.882231608,0.044136231
2019-03-10T05:00:00,0.023643296,0.455088569,0.227831032,0.288445381,0.889180424,0.044696638
2019-03-10T06:00:00,0.023666884,0.485214561,3.921099641,0.283849811,0.863325752,5.454804517
2019-03-10T07:00:00,0.025777349,0.455668571,3.97450032,0.28944379,0.875660428,6.534642928
2019-03-10T08:00:00,0.025708539,0.447080894,3.910800127,0.287315909,0.853765305,6.539943894
2019-03-10T09:00:00,2.280411512,0.460689239,3.969260967,0.292029722,0.873783102,6.531763065
2019-03-10T10:00:00,3.009919573,0.573001247,3.942236589,0.286513062,0.874275756,6.432303898
2019-03-10T11:00:00,3.187393992,0.700660687,3.972371216,0.29261104,0.88852312,6.532733125
2019-03-10T12:00:00,3.535785292,0.659883708,3.930824922,0.29189041,1.154038882,6.524734548
2019-03-10T13:00:00,3.727020201,0.640180794,3.971767564,0.289924426,1.255503919,6.521161689
2019-03-10T14:00:00,2.883453906,0.461098996,3.903038809,0.285650426,1.115579233,6.407020379
2019-03-10T15:00:00,0.665358674,0.470300551,3.97082907,0.29102781,1.258144294,6.519476513
2019-03-10T16:00:00,0.421419539,0.463133305,3.913177015,0.289911701,1.21414237,6.512928211
2019-03-10T17:00:00,0.427219219,0.466862362,3.966508329,0.290125905,1.226851661,6.506620687
2019-03-10T18:00:00,0.418709354,0.458522553,3.906192888,0.285383802,1.203831028,6.389333521
