timestamp,Building A,Building B,Building C,Building G,Building R,Building YG,
2018-08-03T12:00:00,NULL,26.71748364,NULL,48.8565961,60.43516371,0.006483121,
2018-08-03T13:00:00,NULL,26.51603103,NULL,46.04893976,59.23973167,0.007237735,
2018-08-03T14:00:00,NULL,25.91897882,NULL,29.96720617,59.74069789,0.007125503,
2018-08-03T15:00:00,NULL,32.3679603,NULL,39.89673233,68.39041989,0.007246743,
2018-08-03T16:00:00,NULL,36.21475343,NULL,32.51306516,59.56879629,0.007258669,
2018-08-03T17:00:00,NULL,52.17998582,NULL,18.17172179,52.47387802,0.007236984,
2018-08-03T18:00:00,NULL,13.97541608,NULL,3.486308228,41.54020994,0.007142253,
2018-08-03T19:00:00,NULL,6.763144008,NULL,2.679463451,44.15126038,0.007222051,
2018-08-03T20:00:00,NULL,11.32266279,NULL,4.077767126,56.18865718,0.007075123,
2018-08-03T21:00:00,NULL,11.0539253,NULL,3.513051044,30.16509936,0.007115875,
2018-08-03T22:00:00,NULL,7.724945923,NULL,3.453892298,4.266516279,0.007094062,
2018-08-03T23:00:00,NULL,6.806836759,NULL,3.352169414,4.077627259,0.006700758,
2018-08-04T00:00:00,NULL,6.338469969,NULL,3.139839494,4.037628473,0.006376381,
2018-08-04T01:00:00,NULL,6.47602535,NULL,3.125094056,3.616096353,0.006303302,
2018-08-04T02:00:00,NULL,7.341904408,NULL,3.469351197,4.1594839,0.006925162,
2018-08-04T03:00:00,NULL,7.557301409,NULL,3.512445986,4.120765953,0.00698128,
2018-08-04T04:00:00,NULL,7.444110182,NULL,3.487662121,4.066556813,0.006962116,
2018-08-04T05:00:00,NULL,7.425248151,NULL,3.44538448,4.169457428,0.007154054,
2018-08-04T06:00:00,NULL,7.188428629,NULL,3.210638046,3.967649939,0.006854334,
2018-08-04T07:00:00,NULL,7.273321873,NULL,3.397160646,4.096305694,0.007072837,
2018-08-04T08:00:00,NULL,6.209371274,NULL,3.050190703,6.446347462,0.005142092,
2018-08-04T09:00:00,NULL,13.79072051,NULL,4.479610487,40.32350708,0.004960294,
2018-08-04T10:00:00,NULL,15.10950351,NULL,24.29512371,69.04471059,0.006743367,
2018-08-04T11:00:00,NULL,7.884087026,NULL,69.51284512,63.47268473,0.00715091,
2018-08-04T12:00:00,NULL,8.018968135,NULL,71.39185649,49.29681685,0.006959806,
2018-08-04T13:00:00,NULL,8.133688002,NULL,70.28388318,50.58663811,0.007168226,
2018-08-04T14:00:00,NULL,8.024863575,NULL,71.23027091,84.53562458,0.007053533,
2018-08-04T15:00:00,NULL,8.28242955,NULL,66.56119869,90.66286016,0.007016262,
2018-08-04T16:00:00,NULL,5.313198114,NULL,35.5956876,71.88562506,0.003413067,
2018-08-04T17:00:00,NULL,4.345629462,NULL,19.15284688,59.32233423,0.002827165,
2018-08-04T18:00:00,NULL,7.235130448,NULL,12.43572178,71.68302398,0.006439069,
